id,album,name
4ZJPwET9Jrgpkqi4Vo3Yg8,All Your Fault: Pt. 1,Bad Bitch (feat. Ty Dolla $ign)
1Eck97uRMlprKOOJN9oO1E,Good Life (with G-Eazy & Kehlani),Good Life (with G-Eazy & Kehlani)
3FsBtu3gdlfZjBLXyDvmj1,13 Reasons Why (A Netflix Original Series Soundtrack),The Night We Met
542Xd5qDeLBvgXZXhfW7LE,Obsession (feat. Jon Bellion),Obsession (feat. Jon Bellion)
27vTihlWXiz9f9lJM3XGVU,Slow Hands,Slow Hands
4SPLWgCPoKwULz2UTM8TKg,So Good,Symphony
6cPyTS0Kk2sc4xQwC93kOg,Memories...Do Not Open,Break Up Every Night
72Q0FQQo32KJloivv5xge2,I'm the One,I'm the One
4iLqG9SeJSnt0cSPICSjxv,Attention,Attention
51PIvodunv6NmX5250zxAh,The Cure,The Cure
0oP9pK1D1lNF3Lb7jkl6Xx,Thunder,Thunder
10GJQkjRJcZhGTLagFOC62,Most Girls,Most Girls
6uBhi9gBXWjanegOb2Phh0,Stay,Stay (with Alessia Cara)
4rwqrKdwlFWJ6LvPYaOtgn,9,Quit (feat. Ariana Grande)
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato)
4QeoDcR16IHpmmgFGQDrCp,No Vacancy,No Vacancy
3GnLo84IkdSWCPYt6tnLll,HUMBLE.,HUMBLE.
2Gl0FzuLxflY6nPifJp5Dr,First Time,First Time
0owbFAS9rCBSqJYly3fMbE,The Things You Do,The Things You Do
0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Sunset Lover
1UiEaMpzSMICYs0FWQga7S,That?s Me,That?s Me
21xFsQzlsh6cr5XIDqKc7S,Empty Streets,Empty Streets
073wmqmf5KfrQiNukyuqrq,Human Touch,Human Touch
2ULg8Cw0Ckn5JDGUkCNXko,Hung Up,Hung Up
3Px934J0dBoCmpUhUuCQkD,Now Or Never,Now Or Never
4uNDs2TBsv2KX9b4LIxfdt,Aloha,Aloha
3R6dPfF2yBO8mHySW1XDAa,Solo Dance,Solo Dance
1fDLHQ4oKWj7KxQRg9WOHQ,Alright,Alright
5p6eKTYwFYitUS617IMtyd,The Shine,The Shine
4JU4oMSWyzHCiszqtsQptt,DGAF (feat. Shiloh Dynasty),DGAF
2PuHj0tUOKud6fVKTZUXRO,Not Going Home,Not Going Home
74LOZLK6DFZiVLcd8zBEp2,Out of Love,Out of Love
4Sj8JZ9zZfl8HaOav5yTVq,1-800-273-8255,1-800-273-8255
1euQrkGwRPQod7kcddoeJ5,Stay a Little Longer,Stay a Little Longer
3A2waEDfZQfl6RNOn8Y1xW,Trouble,Trouble
4y6sUWPw0XzCb8RodaNSPY,Childhood Dreams,Childhood Dreams
